split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir
safety,all,25378,1.0,4912,0.19355347151075736,-0.5320034623146057,-0.35329012960195544,[],False,global_safe,0.2
test,all,121736,1.0,21900,0.1798974830781363,-0.5320034623146057,-0.3399116531014443,[],False,global_safe,0.2
fit,low,36600,0.4983185153920514,7320,0.2,-0.5089086890220642,-0.34870307505130765,[0.54886115],False,fiqa_s_2bin,0.2
fit,high,36847,0.5016814846079486,7361,0.19977203028740467,-0.5636533396663712,-0.3673445105552673,[0.54886115],False,fiqa_s_2bin,0.2
safety,low,12634,0.49783276853968006,2455,0.19431692258983696,-0.5089086890220642,-0.3463413119316101,[0.54886115],False,fiqa_s_2bin,0.2
safety,high,12744,0.5021672314603199,2492,0.19554300062774638,-0.5636533396663712,-0.36319839745759985,[0.54886115],False,fiqa_s_2bin,0.2
test,low,59869,0.4917937175527371,10991,0.18358415874659673,-0.5089086890220642,-0.33229095458984376,[0.54886115],False,fiqa_s_2bin,0.2
test,high,61867,0.508206282447263,11084,0.17915851746488434,-0.5636533396663712,-0.349882917404175,[0.54886115],False,fiqa_s_2bin,0.2
fit,low,36880,0.5021307881874004,7376,0.2,-0.5095375180244446,-0.35889504909515385,[0.5589450499999999],False,fiqa_l_2bin,0.2
fit,high,36567,0.4978692118125996,7248,0.1982115021740914,-0.5688672065734863,-0.351945077776909,[0.5589450499999999],False,fiqa_l_2bin,0.2
safety,low,12160,0.4791551737725589,2260,0.18585526315789475,-0.5095375180244446,-0.36041500657796877,[0.5589450499999999],False,fiqa_l_2bin,0.2
safety,high,13218,0.5208448262274411,2643,0.1999546073536087,-0.5688672065734863,-0.3478187423944474,[0.5589450499999999],False,fiqa_l_2bin,0.2
test,low,58258,0.4785601629756194,10936,0.18771670843489305,-0.5095375180244446,-0.34700674057006836,[0.5589450499999999],False,fiqa_l_2bin,0.2
test,high,63478,0.5214398370243807,10990,0.17313084848293897,-0.5688672065734863,-0.3314303037524224,[0.5589450499999999],False,fiqa_l_2bin,0.2
fit,q1,14509,0.19754380709899655,2888,0.1990488662209663,-0.5060969591140747,-0.35014929294586183,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.2
fit,q2,14732,0.2005800100752924,2946,0.1999728482215585,-0.5068577527999878,-0.34697255611419675,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.2
fit,q3,14684,0.1999264775960897,2936,0.19994551893217108,-0.5202682018280029,-0.34859341412782663,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.2
fit,q4,14762,0.20098846787479407,2948,0.19970193740685543,-0.5394802396269729,-0.3595893865823746,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.2
fit,q5,14760,0.2009612373548273,2933,0.19871273712737128,-0.6348294145601956,-0.39042619645595555,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.2
